County,Parcel,Address,HWA,EHS,DBH,Tag,Latitude,Longitude,Notes
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,5,1605,43.053770,-86.23009,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,14,1606,43.053650,-86.23016,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,14,1607,43.053640,-86.23013,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,8,1608,43.053610,-86.23017,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,20,1609,43.053690,-86.23031,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,5,1610,43.053690,-86.23031,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,5,1611,43.053730,-86.23026,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,19,1612,43.053670,-86.23025,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,6,1613,43.053670,-86.23025,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,7,1614,43.053750,-86.23028,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,10,1615,43.053750,-86.23028,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,7,1616,43.053830,-86.23038,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,20,1617,43.053830,-86.23038,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,5,1618,43.053830,-86.23038,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,7,1619,43.053800,-86.23042,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,25,1620,43.053660,-86.23035,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,11,1621,43.053730,-86.23053,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,9,1622,43.052770,-86.23052,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,24,1623,43.052770,-86.23052,Multistem
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,16,1624,43.053800,-86.23039,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,13,1625,43.053800,-86.23039,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,9,1626,43.053880,-86.23045,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,9,1627,43.053880,-86.23045,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,9,1628,43.053940,-86.23051,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,12,1629,43.053920,-86.23056,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,18,1630,43.053840,-86.23071,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,19,1631,43.053810,-86.23065,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,18,1632,43.053080,-86.23068,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,7,1633,43.053730,-86.23067,
